Title,Year
1. En verden udenfor,1994
2. Godfather,1972
3. The Dark Knight,2008
4. Godfather del 2,1974
5. Tolv vrede mænd,1957
6. Schindlers liste,1993
7. Ringenes herre: Kongen vender tilbage,2003
8. Pulp Fiction,1994
9. Ringenes herre: Eventyret om ringen,2001
"10. Den gode, den onde og den grusomme",1966
11. Forrest Gump,1994
12. Ringenes herre: De to tårne,2002
13. Fight Club,1999
14. Inception,2010
15. Dune: Del 2,2024
16. Imperiet slår igen,1980
17. The Matrix,1999
18. Goodfellas,1990
19. Gøgereden,1975
20. Seven,1995
21. Interstellar,2014
22. Det er herligt at leve,1946
23. De syv samuraier,1954
24. Ondskabens øjne,1991
25. Saving Private Ryan,1998
26. City of God,2002
27. Livet er smukt,1997
28. Den grønne mil,1999
29. Terminator 2: Dommedag,1991
30. Stjernekrigen,1977
31. Tilbage til fremtiden,1985
32. Chihiro og heksene,2001
33. Pianisten,2002
34. Parasite,2019
35. Psycho,1960
36. Spider-Man: Across the Spider-Verse,2023
37. Gladiator,2000
38. Løvernes konge,1994
39. Leon,1994
40. The Departed,2006
41. American History X,1998
42. Whiplash,2014
43. The Prestige,2006
44. Ildfluernes grav,1988
45. Harakiri,1962
46. The Usual Suspects,1995
47. Casablanca,1942
48. De urørlige,2011
49. Mine aftener i Paradis,1988
50. Moderne tider,1936
51. Skjulte øjne,1954
52. Vestens hårde halse,1968
53. Alien - Den 8. passager,1979
54. Byens lys,1931
55. Dommedag nu,1979
56. Django Unchained,2012
57. 12th Fail,2023
58. Memento,2000
59. WALL·E,2008
60. Jagten på den forsvundne skat,1981
61. De andres liv,2006
62. Sunset Boulevard,1950
63. Ærens vej,1957
64. Avengers: Infinity War,2018
65. Spider-Man: Into the Spider-Verse,2018
66. Ondskabens hotel,1980
67. Anklagerens vidne,1957
68. Diktatoren,1940
69. Alien 2 - det endelige opgør,1986
70. Inglourious Basterds,2009
71. The Dark Knight Rises,2012
72. Dr. Strangelove - eller Hvordan jeg lærte at glemme mine bekymringer og elske bomben,1964
73. American Beauty,1999
74. Oldboy,2003
75. Coco,2017
76. Amadeus,1984
77. Toy Story,1995
78. U-båden,1981
79. Braveheart,1995
80. Avengers: Endgame,2019
81. Joker,2019
82. Prinsesse Mononoke,1997
83. Good Will Hunting,1997
84. Your Name.,2016
85. Der var engang i Amerika,1984
86. Himmel og helvede,1963
87. 3 Idiots,2009
88. Syng i sol og regn,1952
89. Kapernaum,2018
90. Oppenheimer,2023
91. Requiem for a Dream,2000
92. Kom og se,1985
